implementation,balls,workers,steps,seed,runIndex,warmup,elapsedMs,throughput,coordinationMs,coordinationRatio,tasksSubmitted,jvm,os,availableProcessors
threads,2500,17,1000,42,4,false,426.163700,2346.516139,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,5,false,425.401500,2350.720437,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,1,false,1211.517600,825.411038,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,2,false,1222.459000,818.023345,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,3,false,1220.044200,819.642436,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,4,false,1224.633600,816.570769,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,5,false,1220.247700,819.505745,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,2,1000,42,1,false,769.785500,1299.063181,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,2,1000,42,2,false,759.334100,1316.943359,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,2,1000,42,3,false,739.747100,1351.813343,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,2,1000,42,4,false,750.147300,1333.071518,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,2,1000,42,5,false,759.730400,1316.256398,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,4,1000,42,1,false,507.469500,1970.561778,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,4,1000,42,2,false,494.602100,2021.827243,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,4,1000,42,3,false,498.390900,2006.457180,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,4,1000,42,4,false,507.505800,1970.420831,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,4,1000,42,5,false,497.713300,2009.188824,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,8,1000,42,1,false,457.579600,2185.412112,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,8,1000,42,2,false,446.497400,2239.654699,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,8,1000,42,3,false,452.147200,2211.669120,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,8,1000,42,4,false,451.464400,2215.014074,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,8,1000,42,5,false,443.304400,2255.786317,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,1000,42,1,false,422.298300,2367.994377,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,1000,42,2,false,414.700300,2411.379977,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,1000,42,3,false,409.461700,2442.230861,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,1000,42,4,false,406.940900,2457.359287,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,1000,42,5,false,409.373600,2442.756445,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,17,1000,42,1,false,416.520600,2400.841639,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,17,1000,42,2,false,413.857100,2416.292967,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,17,1000,42,3,false,410.694600,2434.899314,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,17,1000,42,4,false,415.382100,2407.421986,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,17,1000,42,5,false,413.810300,2416.566238,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
