implementation,balls,workers,steps,seed,runIndex,warmup,elapsedMs,throughput,coordinationMs,coordinationRatio,tasksSubmitted,stateHash,jvm,os,availableProcessors
threads,2000,16,600,42,1,false,185.126000,3241.035835,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2000,16,600,42,2,false,186.870700,3210.776221,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2000,16,600,42,3,false,189.030400,3174.092633,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2000,16,600,42,4,false,196.358300,3055.638595,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2000,16,600,42,5,false,189.678600,3163.245617,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2000,16,600,42,1,false,191.926300,3126.200005,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2000,16,600,42,2,false,194.415900,3086.167335,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2000,16,600,42,3,false,195.070600,3075.809476,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2000,16,600,42,4,false,195.459100,3069.695911,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2000,16,600,42,5,false,195.232700,3073.255659,0.000000,0.000000,0,4608252654238282466,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,600,42,1,false,451.844400,1327.890752,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,600,42,2,false,442.005000,1357.450708,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,600,42,3,false,438.089500,1369.583156,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,600,42,4,false,441.866800,1357.875269,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,600,42,5,false,459.092700,1306.925595,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,600,42,1,false,280.838500,2136.459211,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,600,42,2,false,248.308800,2416.346098,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,600,42,3,false,242.319800,2476.066751,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,600,42,4,false,238.186100,2519.038684,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,600,42,5,false,267.061500,2246.673519,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,600,42,1,false,244.130400,2457.702933,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,600,42,2,false,244.145200,2457.553947,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,600,42,3,false,241.806700,2481.320824,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,600,42,4,false,242.861100,2470.547980,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,16,600,42,5,false,241.860100,2480.772976,0.000000,0.000000,0,2870032908286167323,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
